2024-02-23 22:04:11.177 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6bc72ab6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7ce299c6, org.springframework.security.web.context.SecurityContextHolderFilter@7f1f6c22, org.springframework.security.web.header.HeaderWriterFilter@22955ef2, org.springframework.web.filter.CorsFilter@278e5f8e, org.springframework.security.web.authentication.logout.LogoutFilter@5ac88d71, com.project.backendapp.filters.JwtTokenFilter@c194c4e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@b807b32, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6f3628c2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@44a3b4d9, org.springframework.security.web.access.ExceptionTranslationFilter@4178074f, org.springframework.security.web.access.intercept.AuthorizationFilter@26d63c94]
2024-02-23 22:04:11.333 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2024-02-23 22:04:11.344 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path ''
2024-02-23 22:04:11.349 [main] INFO  c.p.backendapp.BackendappApplication - Started BackendappApplication in 4.983 seconds (process running for 5.698)
2024-02-23 22:04:14.181 [http-nio-8088-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-23 22:04:14.181 [http-nio-8088-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-02-23 22:04:14.182 [http-nio-8088-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-02-23 22:21:29.160 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-02-23 22:21:29.161 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-02-23 22:21:29.165 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-02-23 22:21:31.557 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-23 22:21:31.583 [main] INFO  c.p.backendapp.BackendappApplication - Starting BackendappApplication using Java 17.0.10 with PID 16768 (C:\Users\Administrator\Documents\GitHub\shopmanager\backendapp\target\classes started by Administrator in C:\Users\Administrator\Documents\GitHub\shopmanager\backendapp)
2024-02-23 22:21:31.583 [main] INFO  c.p.backendapp.BackendappApplication - No active profile set, falling back to 1 default profile: "default"
2024-02-23 22:21:31.964 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
